reynolds,alpha,cl,cd
100000,-12.5,-0.5184,0.13358
100000,-12.25,-0.7724,0.10051
100000,-12.0,-0.7713,0.09532
100000,-11.75,-0.7896,0.08685
100000,-11.5,-0.8377,0.07511
100000,-11.25,-0.9695,0.06291
100000,-11.0,-0.9842,0.05891
100000,-10.75,-0.9915,0.05467
100000,-10.5,-0.9911,0.0506
100000,-10.25,-0.9765,0.04806
100000,-10.0,-0.9659,0.04582
100000,-9.75,-0.9597,0.04303
100000,-9.5,-0.9523,0.04019
100000,-9.25,-0.943,0.03777
100000,-9.0,-0.9245,0.03526
100000,-8.75,-0.9056,0.03367
100000,-8.5,-0.8883,0.03189
100000,-8.25,-0.8673,0.02998
100000,-8.0,-0.8471,0.02869
100000,-7.75,-0.8256,0.02707
100000,-7.5,-0.805,0.02598
100000,-7.25,-0.7836,0.02464
100000,-7.0,-0.7631,0.02348
100000,-6.75,-0.743,0.02242
100000,-6.5,-0.7235,0.02143
100000,-6.25,-0.7047,0.0205
100000,-6.0,-0.6862,0.01958
100000,-5.75,-0.6682,0.01875
100000,-5.5,-0.6504,0.01798
100000,-5.25,-0.6324,0.01733
100000,-5.0,-0.6141,0.01674
100000,-4.75,-0.5953,0.01627
100000,-4.5,-0.5761,0.01585
100000,-4.25,-0.5565,0.0155
100000,-4.0,-0.5366,0.0152
100000,-3.75,-0.5162,0.01493
100000,-3.5,-0.4957,0.01471
100000,-3.25,-0.4751,0.01453
100000,-3.0,-0.4545,0.0144
100000,-2.75,-0.434,0.01432
100000,-2.5,-0.4137,0.01429
100000,-2.25,-0.3935,0.01433
100000,-2.0,-0.3737,0.01444
100000,-1.75,-0.3539,0.01463
100000,-1.5,-0.332,0.01489
100000,-1.25,-0.3021,0.01527
100000,-1.0,-0.2578,0.01574
100000,-0.75,-0.2041,0.01619
100000,-0.5,-0.1345,0.01658
100000,-0.25,-0.0651,0.01682
100000,0.0,0.0,0.01693
100000,0.25,0.0651,0.01682
100000,0.5,0.1344,0.01658
100000,0.75,0.204,0.01619
100000,1.0,0.2578,0.01574
100000,1.25,0.302,0.01527
100000,1.5,0.332,0.01489
100000,1.75,0.3538,0.01462
100000,2.0,0.3737,0.01444
100000,2.25,0.3934,0.01433
100000,2.5,0.4136,0.01429
100000,2.75,0.4339,0.01432
100000,3.0,0.4544,0.0144
100000,3.25,0.475,0.01453
100000,3.5,0.4957,0.01471
100000,3.75,0.5162,0.01493
100000,4.0,0.5365,0.0152
100000,4.25,0.5565,0.01549
100000,4.5,0.5761,0.01585
100000,4.75,0.5953,0.01627
100000,5.0,0.6141,0.01674
100000,5.25,0.6323,0.01732
100000,5.5,0.6503,0.01798
100000,5.75,0.6681,0.01874
100000,6.0,0.6862,0.01958
100000,6.25,0.7046,0.0205
100000,6.5,0.7235,0.02143
100000,6.75,0.743,0.02242
100000,7.0,0.7631,0.02348
100000,7.25,0.7836,0.02464
100000,7.5,0.805,0.02598
100000,7.75,0.8256,0.02706
100000,8.0,0.8471,0.02869
100000,8.25,0.8673,0.02998
100000,8.5,0.8884,0.03189
100000,8.75,0.9057,0.03367
100000,9.0,0.9246,0.03526
100000,9.25,0.9431,0.03777
100000,9.5,0.9524,0.04019
100000,9.75,0.9598,0.04303
100000,10.0,0.9661,0.04582
100000,10.25,0.9768,0.04806
100000,10.5,0.9913,0.05061
100000,10.75,0.9917,0.05469
100000,11.0,0.9845,0.05893
100000,11.25,0.9697,0.06293
100000,11.5,0.8378,0.07522
100000,11.75,0.7898,0.08703
1000000,-18.25,-1.2456,0.09505
1000000,-18.0,-1.2659,0.08782
1000000,-17.75,-1.2852,0.08088
1000000,-17.5,-1.3031,0.07429
1000000,-17.25,-1.3193,0.06814
1000000,-17.0,-1.3322,0.06256
1000000,-16.75,-1.3427,0.05745
1000000,-16.5,-1.3519,0.05263
1000000,-16.25,-1.3687,0.04704
1000000,-16.0,-1.3806,0.04234
1000000,-15.75,-1.3868,0.03865
1000000,-15.5,-1.3879,0.03577
1000000,-15.25,-1.3854,0.03348
1000000,-15.0,-1.3802,0.0316
1000000,-14.75,-1.3739,0.02997
1000000,-14.5,-1.3669,0.02849
1000000,-14.25,-1.359,0.02718
1000000,-14.0,-1.3502,0.02602
1000000,-13.75,-1.3399,0.02502
1000000,-13.5,-1.3281,0.02416
1000000,-13.25,-1.3149,0.02343
1000000,-13.0,-1.3132,0.02207
1000000,-12.75,-1.3004,0.02117
1000000,-12.5,-1.2834,0.02049
1000000,-12.25,-1.2649,0.01988
1000000,-12.0,-1.2455,0.01931
1000000,-11.75,-1.225,0.01881
1000000,-11.5,-1.2032,0.01839
1000000,-11.25,-1.1872,0.01745
