Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,Unnamed: 21
0.0,1173,,,,0.0,-0.0390625,-0.9609375,,0.1038918818712582,22.20600128173828,0.1171875,446,0,2.602265775203705,,10.94058606182036,,0.0399236245817841,0.078125,,
0.0,1173,,,,0.0,-0.046875,-1.046875,0.0067318596477016,,22.200000762939453,0.126953125,446,0,2.818359471857548,0.3144969458559395,11.158865609455356,0.3303430549651429,0.0368625375537295,0.078125,,
0.01,1173,,,,0.0,0.03125,-1.0625,,0.1038918818712582,22.20400047302246,0.1318359375,446,0,2.92728521861136,,10.743199723673678,,0.0354908640984913,0.078125,,
0.0160000000000582,1173,,,,-0.103515625,0.01953125,-0.998046875,0.0056765534241179,0.1038918818712582,22.20600128173828,0.1220703125,446,0,2.7106935158371925,0.26518193262636,9.782807649667436,0.3917758681457433,0.0383266795985127,0.080078125,,
0.0219950000000535,1173,,,,0.0625,-0.04296875,-1.01953125,,,22.20400047302246,0.126953125,446,0,2.81886724755168,,9.399931416377054,,,0.080078125,,
0.0280000000000582,1173,,,,0.0,-0.046875,-1.09375,,,22.20600128173828,0.126953125,445,0,2.81912125647068,,9.388026540281883,,,0.080078125,,
0.034,1173,,,,-0.0625,-0.01171875,-1.048828125,0.0041126373728946,0.1029677298397182,22.20800018310547,0.126953125,445,0,2.8193750232458115,0.1916351147844628,6.797077834783486,0.5373113896977015,0.0365214733729095,0.080078125,,
0.0399949999999953,1173,,,,,,,,,22.20199966430664,0.126953125,445,0,2.818613238632679,,6.797021537131617,,,,,
0.0459950000000535,1173,,,,-0.03125,0.013671875,-1.0078125,0.0031076335090549,0.1155404958502035,22.20400047302246,0.126953125,445,0,2.81886724755168,0.144745340685884,5.134876103569697,0.7982329192961125,0.0409882714237628,0.080078125,,
0.0520000000000582,1173,,,,0.0,-0.046875,-1.01953125,,,22.20600128173828,0.1220703125,445,0,2.7106935158371925,,5.339437353483849,,,0.078125,,
0.058,1173,,,,0.0,-0.0625,-1.07421875,0.0023962657056886,0.1151321496037091,22.20400047302246,0.126953125,445,0,2.81886724755168,0.111600759615367,3.959064042916445,0.0,0.0408434096013946,0.078125,,
0.0639949999999953,1173,,,,-0.0625,-0.0078125,-1.0234375,,,22.20800018310547,0.146484375,445,0,3.25312502682209,,3.430517337458625,,,0.078125,,
0.0689950000000535,1173,,,,-0.0625,0.013671875,-0.96484375,,0.1151321496037091,22.200000762939453,0.1171875,445,0,2.601562589406967,,4.292430523906501,,0.0442549989273768,0.080078125,,
0.0740000000000582,1173,,,,,,,0.0030740891128352,,22.20400047302246,0.15625,445,0,3.4693750739097595,0.1434002528066306,4.133316512389302,0.8028727101266703,0.0331852703011331,,,
0.0799950000000535,1173,,,,0.0,-0.04296875,-1.0703125,,0.1077389333513896,22.20600128173828,0.107421875,446,0,2.385410293936729,,6.015202303696524,,0.0451657870452064,0.078125,,
0.0860000000000582,1173,,,,-0.03125,-0.060546875,-1.017578125,0.003816882446144,,22.20400047302246,0.09765625,446,0,2.1683594211936,0.1782107707284445,8.218691467226694,0.6045590449499874,0.0496868426416518,0.080078125,,
0.092,1173,,,,-0.0625,-0.01953125,-0.94921875,,0.1016567234693941,22.20400047302246,0.1171875,446,0,2.60203130543232,,6.849892583457091,,0.039068216918514,0.080078125,,
0.097,1173,,,,0.0,-0.0546875,-1.0078125,0.0044875393498011,,22.20400047302246,0.107421875,446,0,2.38519536331296,0.2095668956301631,8.786152231114581,0.485080065550022,0.0426198730020153,0.080078125,,
