Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.0000781231940563554,-0.007672611052552581,22.20400047302246,0.0732421875,0,0,1.6262695658951998,0,0,0,0,0.05859375,,
0,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00001130090918096954,-0.008091703252902092,22.203998565673828,0.069580078125,0,0,1.544955954886973,0,0,0,0,0.05859375,,
0.020995000004768373,1000,,,,-0.0625,-0.01171875,-1.013671875,-0.00004750271350168079,-0.006243399189822198,22.20171546936035,0.0613839291036129,0,0,1.3628285283498016,0,0,0,0,0.05859375,,
0.042,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.00009946480277394057,-0.006243399189822198,22.202001571655273,0.0797526016831398,0,0,1.7706673879126669,0,0,0,0,0.05859375,,
0.06499500000476838,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.000007099903976081321,-0.005577150050805027,22.200571060180664,0.0669642835855484,0,0,1.486645336235057,0,0,0,0,0.05859375,,
0.09,1000,,,,-0.0625,-0.01171875,-1.01171875,0.000001391547888082724,-0.008757952391919262,22.204498291015625,0.068359375,0,0,1.5178856253623962,0,0,0,0,0.05859375,,
0.11100000002980233,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.00009924874190649515,-0.0073394864830439955,22.202499389648438,0.069580078125,0,0,1.544851642102003,0,0,0,0,0.05859375,,
0.131,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.00010196829818335027,-0.00529775525057202,22.203332901000977,0.0716145858168602,0,0,1.59008248945905,0,0,0,0,0.05859375,,
0.15400000002980233,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.00008888977218663052,-0.005351485019847599,22.200571060180664,0.0753348246216774,0,0,1.672476127319797,0,0,0,0,0.05859375,,
0.174,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.00003387359861498333,-0.005405214789123177,22.201499938964844,0.069580078125,0,0,1.5447821002453566,0,0,0,0,0.05859375,,
0.196,1000,,,,-0.0625,-0.015625,-1.01171875,-0.000046198758851825955,-0.0032990078335205075,22.204666137695312,0.0634765625,0,0,1.40947587788105,0,0,0,0,0.05859375,,
0.21699500000476837,1000,,,,-0.0625,-0.013671875,-1.009765625,0.000014926708944173683,-0.0016548768936878117,22.201141357421875,0.0655691996216774,0,0,1.4557110694938729,0,0,0,0,0.05859375,,
0.24,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.0000013303161904948816,-0.0035891485876086305,22.204570770263672,0.0697544664144516,0,0,1.548867986041671,0,0,0,0,0.05859375,,
0.2609950000047684,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00004026059831327313,-0.00554491218923968,22.202856063842773,0.0711495503783226,0,0,1.5797232260570269,0,0,0,0,0.05859375,,
0.2820000000298023,1000,,,,-0.0625,-0.013671875,-1.009765625,0.00000349687254842382,-0.003535418818333052,22.201143264770508,0.0669642835855484,0,0,1.4866836535054802,0,0,0,0,0.05859375,,
0.302,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.000055445987504815606,-0.0016656228475429274,22.203998565673828,0.078125,0,0,1.7346873879432678,0,0,0,0,0.05859375,,
0.3249950000047684,1000,,,,-0.0625,-0.013671875,-1.01171875,0.000007594899170267694,-0.009015855284442037,22.203998565673828,0.068359375,0,0,1.5178514644503593,0,0,0,0,0.05859375,,
0.345,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.00005097650803287991,-0.009800309915865483,22.202856063842773,0.0641741082072258,0,0,1.4248484875505056,0,0,0,0,0.05859375,,
0.3660000000298023,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.00012810170934677626,-0.009488677254067128,22.202001571655273,0.0651041641831398,0,0,1.4454427555153728,0,0,0,0,0.05859375,,
