Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Thrust (N)
0,1000,,,,-0.0625,-0.015625,-1.009765625,0.000114471,-0.472794916,22.20399857,0.073939733,0,0,1.64175773,0,0,0,0,0.05859375,,-0.004636534
0,1000,,,,-0.0625,-0.013671875,-1.009765625,5.40E-06,-0.362070111,22.20222092,0.077039927,0,0,1.710457484,0,0,0,0,0.05859375,,-0.003550695
0.026425,1000,,,,-0.0625,-0.01171875,-1.01171875,-1.78E-05,-0.209629736,22.20310974,0.079210073,0,0,1.758709938,0,0,0,0,0.05859375,,-0.002055765
0.050045,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.00018388,-0.068649379,22.20133209,0.078125,0,0,1.73447907,0,0,0,0,0.05859375,,-0.00067322
0.07781,1000,,,,-0.0625,-0.013671875,-1.01171875,-8.64E-05,-0.002214496,22.19999886,0.076729909,0,0,1.703403883,0,0,0,0,0.05859375,,-2.17168E-05
0.101475,1000,,,,-0.0625,-0.013671875,-1.01171875,-6.57E-05,0.053895299,22.20039749,0.073242188,0,0,1.626005676,0,0,0,0,0.05859375,,0.000528532
0.12801,1000,,,,-0.0625,-0.013671875,-1.009765625,9.43E-06,0.582412472,22.20057297,0.079520091,0,0,1.765391592,0,0,0,0,0.05859375,,0.005711515
0.155475,1000,,,,-0.0625,-0.013671875,-1.01171875,3.37E-06,0.445113714,22.20088959,0.079210073,0,0,1.758534079,0,0,0,0,0.05859375,,0.004365074
0.179465,1000,,,,-0.0625,-0.015625,-1.009765625,-6.05E-05,0.403038289,22.20088768,0.072699651,0,0,1.613996789,0,0,0,0,0.05859375,,0.003952455
0.20174,1000,,,,-0.0625,-0.01171875,-1.009765625,-6.20E-05,-0.43625573,22.20228577,0.073939733,0,0,1.641631086,0,0,0,0,0.05859375,,-0.004278207
0.23067,1000,,,,-0.0625,-0.013671875,-1.009765625,-7.37E-05,-0.23805833,22.20149994,0.085449219,0,0,1.897100825,0,0,0,0,0.05859375,,-0.002334555
0.25736,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000121011,0.190446664,22.20088768,0.073784724,0,0,1.638086367,0,0,0,0,0.05859375,,0.001867644
0.2823,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.000116885,0.518192085,22.20310974,0.071614586,0,0,1.590066508,0,0,0,0,0.05859375,,0.005081728
0.309985,1000,,,,-0.0625,-0.013671875,-1.01171875,-9.82E-05,1.01423921,22.20050049,0.073242188,0,0,1.626013219,0,0,0,0,0.05859375,,0.009946289
0.333275,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.000190533,0.120690037,22.20133209,0.074869789,0,0,1.662209053,0,0,0,0,0.05859375,,0.001183565
0.356365,1000,,,,-0.0625,-0.013671875,-1.009765625,-3.38E-05,-0.33438891,22.20099831,0.076904297,0,0,1.707352165,0,0,0,0,0.05859375,,-0.003279235
0.38121,1000,,,,-0.0625,-0.01171875,-1.01171875,-3.17E-05,-0.047611666,22.20285606,0.073939733,0,0,1.641673254,0,0,0,0,0.05859375,,-0.000466911
0.40605,1000,,,,-0.0625,-0.015625,-1.009765625,-0.000133629,0.252452554,22.20199966,0.076904297,0,0,1.707429173,0,0,0,0,0.05859375,,0.002475714
0.43011,1000,,,,-0.0625,-0.015625,-1.01171875,-0.000210754,-0.713067741,22.20266533,0.075954862,0,0,1.68640038,0,0,0,0,0.05859375,,-0.006992806
0.45479,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000190525,-0.523728326,22.20099831,0.070800781,0,0,1.571848025,0,0,0,0,0.05859375,,-0.00513602
0.48148,1000,,,,-0.0625,-0.015625,-1.01171875,-0.000180885,-0.156121974,22.20249748,0.081787109,0,0,1.81587809,0,0,0,0,0.05859375,,-0.001531034
