Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1000,,,,-0.0625,-0.013671875,-1.0078125,0.00003010726123303175,-0.0011302278759369626,22.204500198364258,0.08056640625,0,0,1.7889367835596204,0,0,0,0,0.05859375,,
0,1000,,,,-0.0625,-0.013671875,-1.01171875,0.000029480739390611413,-0.00405283733290527,22.203109741210938,0.0846354141831398,0,0,1.8791693891010937,0,0,0,0,0.05859375,,
0.023,1000,,,,-0.0625,-0.01171875,-1.01171875,0.00015720780155202373,-0.004897654129060172,22.206998825073242,0.0732421875,0,0,1.626489171758294,0,0,0,0,0.05859375,,
0.04999999999953434,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00007441283316118642,0.001872296683370322,22.205501556396484,0.08056640625,0,0,1.7890174593776464,0,0,0,0,0.05859375,,
0.072,1000,,,,-0.0625,-0.013671875,-1.01171875,0.0001296087659884768,0.003162354763985239,22.202665328979492,0.0770399272441864,0,0,1.7104917215716,0,0,0,0,0.05859375,,
0.1009949999996461,1000,,,,-0.0625,-0.01171875,-1.009765625,0.00021468530026962982,0.0030938561048375443,22.203426361083984,0.0795200914144516,0,0,1.7656184939474429,0,0,0,0,0.05859375,,
0.12199999999953434,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000052858771142084156,0.0008334003529636189,22.20488739013672,0.0824652761220932,0,0,1.83113216988761,0,0,0,0,0.05859375,,
0.152,1000,,,,-0.0625,-0.013671875,-1.009765625,0.00003609450068278238,-0.0023175379678303377,22.204570770263672,0.0669642835855484,0,0,1.4869131739553154,0,0,0,0,0.05859375,,
0.17299999999953433,1000,,,,-0.0625,-0.015625,-1.009765625,-0.000005302983512636274,0.0008448167961549014,22.20479965209961,0.076171875,0,0,1.691381223499775,0,0,0,0,0.05859375,,
0.19999999999953433,1000,,,,-0.0625,-0.013671875,-1.01171875,0.000048753235519398,0.0037560098099319265,22.20571517944336,0.0739397332072258,0,0,1.6418846560436862,0,0,0,0,0.05859375,,
0.22199999999953435,1000,,,,-0.0625,-0.015625,-1.009765625,0.00011227570778144872,-0.0029454423433508724,22.203998565673828,0.0846354141831398,0,0,1.8792446151276465,0,0,0,0,0.05859375,,
0.24899999999953434,1000,,,,-0.0625,-0.015625,-1.01171875,0.00022939680291758847,-0.0016782171491185203,22.20571517944336,0.078125,0,0,1.7348214983940125,0,0,0,0,0.05859375,,
0.272,1000,,,,-0.0625,-0.013671875,-1.009765625,0.0001628529130332172,0.004383914185452462,22.204444885253906,0.078125,0,0,1.7347222566604614,0,0,0,0,0.05859375,,
0.299,1000,,,,-0.0625,-0.015625,-1.009765625,-0.000051148131299298256,0.006404624630309455,22.204570770263672,0.0823102667927742,0,0,1.8276641441194386,0,0,0,0,0.05859375,,
0.3239949999996461,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00005171905734682804,0.0046579088220432404,22.203998565673828,0.0770399272441864,0,0,1.710594434029531,0,0,0,0,0.05859375,,
0.349,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.00007201793738128617,0.0031737712071765213,22.205331802368164,0.0846354141831398,0,0,1.8793574541674758,0,0,0,0,0.05859375,,
0.3719999999995343,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.00002429108576755971,0.0016211349331621081,22.20349884033203,0.086669921875,0,0,1.9243755098432302,0,0,0,0,0.05859375,,
0.39899999999953434,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.00009357199940038844,-0.0033221849686631932,22.20285415649414,0.0892857164144516,0,0,1.9823977398081638,0,0,0,0,0.05859375,,
0.42199500000011175,1000,,,,-0.0625,-0.015625,-1.009765625,-0.00004578741369196796,-0.00582238602755405,22.20488739013672,0.0770399272441864,0,0,1.7106629090014849,0,0,0,0,0.05859375,,
0.4489949999996461,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.000024804277720395477,-0.0007420688074333593,22.204572677612305,0.0837053582072258,0,0,1.8586417098179169,0,0,0,0,0.05859375,,
0.473,1000,,,,-0.0625,-0.013671875,-1.01171875,5.131919528357685e-7,0.002123458433578536,22.20560073852539,0.0751953125,0,0,1.6697570867836475,0,0,0,0,0.05859375,,
0.5,1000,,,,-0.0625,-0.013671875,-1.009765625,0.0001168367012622766,-0.003162354763985239,22.204999923706055,0.076904296875,0,0,1.7076599062420428,0,0,0,0,0.05859375,,
0.525,1000,,,,-0.0625,-0.013671875,-1.009765625,0.00002195392408235348,0.0019636282289005815,22.205333709716797,0.0802951380610466,0,0,1.7829803359133223,0,0,0,0,0.05859375,,
0.5499999999995343,1000,,,,-0.0625,-0.01171875,-1.009765625,0.00003541024474566802,0.006792783698813059,22.203428268432617,0.078125,0,0,1.7346428334712982,0,0,0,0,0.05859375,,
0.572,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.00009305880744755267,0.0013128909669974818,22.204442977905273,0.0792100727558136,0,0,1.758815543782191,0,0,0,0,0.05859375,,
0.5999999999995344,1000,,,,-0.0625,-0.013671875,-1.01171875,0.000004276599606964737,-0.0030481903320724144,22.205142974853516,0.078125,0,0,1.734776794910431,0,0,0,0,0.05859375,,
0.6219999999995344,1000,,,,-0.0625,-0.013671875,-1.009765625,0.00007783411284675821,-0.0005137399436077103,22.20400047302246,0.0813802108168602,0,0,1.8069662394722315,0,0,0,0,0.05859375,,
0.652,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.00006585963394725695,0.004897654129060172,22.206857681274414,0.0753348246216774,0,0,1.6729497288173576,0,0,0,0,0.05859375,,
0.674,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00011033626985969023,0.0004680741708425805,22.203636169433594,0.07634942978620529,0,0,1.6952349607166184,0,0,0,0,0.05859375,,
0.6999999999995343,1000,,,,-0.0625,-0.015625,-1.01171875,0.00009015071971481666,-0.003790259139505774,22.204668045043945,0.0813802108168602,0,0,1.8070205666240753,0,0,0,0,0.05859375,,
0.7219999999995343,1000,,,,-0.0625,-0.015625,-1.01171875,0.00013633799547003582,-0.0004909070572251454,22.205333709716797,0.0694444477558136,0,0,1.5420371367048347,0,0,0,0,0.05859375,,
0.75,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.000009408519135322423,0.001061729216789268,22.205142974853516,0.078125,0,0,1.734776794910431,0,0,0,0,0.05859375,,
0.772,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.000022864839798636966,0.0024773681725082917,22.20560073852539,0.0791015625,0,0,1.7564977146685123,0,0,0,0,0.05859375,,
0.7969950000001118,1000,,,,-0.0625,-0.013671875,-1.009765625,0.0000032502157012932004,0.0023175379678303377,22.204666137695312,0.078125,0,0,1.7347395420074463,0,0,0,0,0.05859375,,
0.8229999999995343,1000,,,,-0.0625,-0.01171875,-1.009765625,0.000027712365453131493,-0.0027171134795252235,22.203998565673828,0.0889756977558136,0,0,1.9756162653499132,0,0,0,0,0.05859375,,
0.8499999999995344,1000,,,,-0.0625,-0.015625,-1.01171875,0.00008399241628078745,-0.0032308534231329337,22.203109741210938,0.0824652761220932,0,0,1.8309855755780973,0,0,0,0,0.05859375,,
0.8719999999995344,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00016062908123759553,-0.0010274798872154207,22.204998016357422,0.08056640625,0,0,1.7889768909662962,0,0,0,0,0.05859375,,
0.9,1000,,,,-0.0625,-0.013671875,-1.01171875,0.0002068163569928147,-0.0032536863095154987,22.20571517944336,0.0725446417927742,0,0,1.6109056534450872,0,0,0,0,0.05859375,,
0.9219950000001118,1000,,,,-0.0625,-0.01171875,-1.01171875,0.00003438386083999649,-0.004018588003331423,22.205196380615234,0.0732421875,0,0,1.6263571567833424,0,0,0,0,0.05859375,,
0.9499999999995343,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.00008193964846944436,-0.002146291319961101,22.203428268432617,0.0892857164144516,0,0,1.9824489998038928,0,0,0,0,0.05859375,,
0.973,1000,,,,-0.0625,-0.015625,-1.009765625,-0.000008040007261093706,0.0013813896261451765,22.205333709716797,0.0748697891831398,0,0,1.6625086535877642,0,0,0,0,0.05859375,,
1.002,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.00002856768537452444,-0.0003310768525471911,22.206499099731445,0.079345703125,0,0,1.761990285012871,0,0,0,0,0.05859375,,
1.023,1000,,,,-0.0625,-0.015625,-1.01171875,0.00010178307064576075,-0.0013699731829538942,22.205198287963867,0.0751953125,0,0,1.669726824387908,0,0,0,0,0.05859375,,
1.0499999999995344,1000,,,,-0.0625,-0.015625,-1.0078125,0.00018936783059639856,-0.0024659517293170096,22.206666946411133,0.0813802108168602,0,0,1.8071832376387391,0,0,0,0,0.05859375,,
1.072,1000,,,,-0.05078125,-0.01171875,-1.01171875,0.00013394309969013557,-0.005148815879268386,22.20479965209961,0.08203125,0,0,1.821487471461296,0,0,0,0,0.056640625,,
1.0999999999995342,1000,,,,-0.0625,-0.013671875,-1.009765625,0.00006141197035601363,-0.005708221595641226,22.205713272094727,0.0906808003783226,0,0,2.0136318524850907,0,0,0,0,0.056640625,,
1.1219999999995343,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.000005131919528357685,-0.0022033735359175133,22.20488739013672,0.087890625,0,0,1.951601430773735,0,0,0,0,0.056640625,,
1.1509999999995344,1000,,,,-0.0625,-0.013671875,-1.01171875,0.000019501294207759204,-0.0013585567397626118,22.20228385925293,0.0795200914144516,0,0,1.7655276420973962,0,0,0,0,0.056640625,,
1.1719950000001118,1000,,,,-0.0625,-0.013671875,-1.0078125,0.000009408519135322423,-0.0020892091040046884,22.20479965209961,0.0791015625,0,0,1.7564343474805355,0,0,0,0,0.056640625,,
1.1999999999995343,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.00006722814582148568,-0.004680741708425805,22.204570770263672,0.0725446417927742,0,0,1.6108226326910824,0,0,0,0,0.056640625,,
1.224,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00011563925337232648,-0.0025458668316559866,22.206666946411133,0.0770399272441864,0,0,1.7108000058873927,0,0,0,0,0.056640625,,
1.2509999999995343,1000,,,,-0.0625,-0.013671875,-1.009765625,0.00004618727575521916,-0.0031737712071765213,22.20600128173828,0.087890625,0,0,1.9516993314027786,0,0,0,0,0.056640625,,
1.273,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00003883152443123981,0.0021805406495349483,22.20599937438965,0.08544921875,0,0,1.8974852981045842,0,0,0,0,0.056640625,,
1.301,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00014010140312416478,0.003950089344183728,22.20599937438965,0.067138671875,0,0,1.4908813056536019,0,0,0,0,0.056640625,,
1.323994999999646,1000,,,,-0.0625,-0.01171875,-1.009765625,0.00013645132535962037,-0.00031966040935590864,22.20577621459961,0.0770399272441864,0,0,1.7107313839734388,0,0,0,0,0.056640625,,
1.3499999999995342,1000,,,,-0.0625,-0.013671875,-1.01171875,0.00007441283316118642,0.0014270553989103065,22.204572677612305,0.0837053582072258,0,0,1.8586417098179169,0,0,0,0,0.056640625,,
1.3739999999995343,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.0000439634439595975,0.0023289544110216202,22.203556060791016,0.0835503488779068,0,0,1.8551148552092513,0,0,0,0,0.056640625,,
1.4009999999995344,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.00006551750597869978,0.001061729216789268,22.203998565673828,0.079345703125,0,0,1.7617918783798814,0,0,0,0,0.056640625,,
1.4219950000001118,1000,,,,-0.0625,-0.015625,-1.009765625,-0.00006836785961674177,0.001895129569752887,22.203556060791016,0.0770399272441864,0,0,1.7105603434855539,0,0,0,0,0.056640625,,
1.4519999999995343,1022,,,,-0.0625,-0.015625,-1.009765625,-0.00002788342943741008,-0.0033564342982370407,22.205331802368164,0.0830078125,0,0,1.8432160187512636,0,0,0,0,0.056640625,,
1.474,1035,,,,-0.0625,-0.013671875,-1.01171875,-0.00007760531476778561,-0.005548391390963271,22.203998565673828,0.078125,0,0,1.7346873879432678,0,0,0,0,0.056640625,,
1.5,1053,,,,-0.0625,-0.013671875,-1.01171875,-0.00007509708909830078,-0.0009475647848764435,22.204498291015625,0.086669921875,0,0,1.9244621321558952,0,0,0,0,0.056640625,,
1.522,1053,,,,-0.0625,-0.013671875,-1.01171875,-0.000026343853578902782,0.0013471402965713293,22.204498291015625,0.0732421875,0,0,1.626306027173996,0,0,0,0,0.056640625,,
1.549,1060,,,,-0.0625,-0.013671875,-1.009765625,0.0001353116115643643,-0.004920487015442737,22.20628547668457,0.0767299085855484,0,0,1.7038862546505982,0,0,0,0,0.056640625,,
1.572,1060,,,,-0.0625,-0.01171875,-1.01171875,0.00014489119468396528,-0.003744593366740644,22.205778121948242,0.0813802108168602,0,0,1.80711090491657,0,0,0,0,0.056640625,,
