% Model:              LS_cruise.mph
% Version:            COMSOL 6.3.0.420
% Date:               Sep 9 2025, 09:57
% Table:              Design Data (QoI1-2) - 
% AR                     lambda                   twist (deg)              aoa_root (deg)           U_cruise (m/s)           comp1.L                  comp1.D
18.925                   0.51260                  -3.2208                  5                        22.624                   0.75135                  0.15057
18.925                   0.51260                  -3.2208                  6                        22.624                   0.94122                  0.16450
18.925                   0.51260                  -3.2208                  7                        22.624                   1.1279                   0.18056
18.925                   0.51260                  -3.2208                  8                        22.624                   1.3042                   0.20019
18.925                   0.51260                  -3.2208                  9                        22.624                   1.4636                   0.22528
18.925                   0.51260                  -3.2208                  10                       22.624                   1.6106                   0.25449
18.925                   0.51260                  -3.2208                  11                       22.624                   1.7034                   0.28586
18.925                   0.51260                  -3.2208                  11.395                   22.624                   1.7551                   0.30042
18.925                   0.51260                  -3.2208                  12                       22.624                   1.8042                   0.32278
18.925                   0.51260                  -3.2208                  13                       22.624                   1.7306                   0.36967
18.925                   0.51260                  -3.2208                  14                       22.624                   1.6052                   0.42402
18.925                   0.51260                  -3.2208                  15                       22.624                   1.5986                   0.47168
