Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,,,,,-0.0625,-0.015625,-1.03125,-0.00014844057687001555,0.0064029236577361525,0,-0.009765625,0,0,0,0,0,0,0,0.05859375,,
0,,,,,-0.0625,-0.015625,-1.03125,-0.00003095278075743769,0.006339318455838111,0,-0.01171875,0,0,0,0,0,0,0,0.05859375,,
0.017,,,,,-0.0625,-0.015625,-1.03125,-0.000011010380915575965,0.003307470498698145,0,-0.005859375,0,0,0,0,0,0,0,0.05859375,,
0.032,,,,,-0.0625,-0.015625,-1.03125,0.00003811567759528389,0.005173223087707355,0,-0.01171875,0,0,0,0,0,0,0,0.05859375,,
0.05,,,,,-0.0625,-0.01953125,-1.03125,0.00007079315455564096,0.005173223087707355,0,-0.005859375,0,0,0,0,0,0,0,0.05859375,,
0.067,,,,,-0.0625,-0.017578125,-1.03125,0.000009439365638618851,0.0019399586578902586,0,-0.009765625,0,0,0,0,0,0,0,0.05859375,,
0.08299999999999637,,,,,-0.0625,-0.015625,-1.029296875,-0.00004810587680729296,0.0012509023039948112,0,-0.01171875,0,0,0,0,0,0,0,0.05859375,,
0.098,,,,,-0.0625,-0.015625,-1.03125,-0.0001692759342758106,0.0012509023039948112,0,0,0,0,0,0,0,0,0,0.05859375,,
0.116,,,,,-0.0625,-0.015625,-1.03125,-0.0001692759342758106,-0.000084806935864055,0,-0.013671875,0,0,0,0,0,0,0,0.05859375,,
0.135,,,,,-0.0625,-0.015625,-1.03125,-0.000040293257091677796,0.0002756225415581788,0,-0.005580357275903225,0,0,0,0,0,0,0,0.05859375,,
0.151,,,,,-0.0625,-0.017578125,-1.03125,-0.00011355247222220965,0.0024488002730745887,0,0.005859375,0,0,0,0,0,0,0,0.05859375,,
0.167,,,,,-0.0625,-0.015625,-1.03125,-0.0001279727700492056,0.003773908645950448,0,-0.009765625,0,0,0,0,0,0,0,0.05859375,,
0.183,,,,,-0.0625,-0.015625,-1.029296875,0.000035087642787838884,0.0056396612349596574,0,-0.013671875,0,0,0,0,0,0,0,0.05859375,,
0.2,,,,,-0.0625,-0.01953125,-1.029296875,-0.0001508085686473401,0.0056396612349596574,0,-0.001953125,0,0,0,0,0,0,0,0.05859375,,
0.216,,,,,-0.0625,-0.015625,-1.03125,-0.00013192451319256416,0.003519487838358283,0,0,0,0,0,0,0,0,0,0.05859375,,
0.232,,,,,-0.0625,-0.015625,-1.03515625,-0.00006957195779977877,0.0010600866983006877,0,-0.01171875,0,0,0,0,0,0,0,0.05859375,,
0.248,,,,,-0.0625,-0.017578125,-1.03125,-0.00008406231779181121,-0.0005512450831163576,0,-0.009765625,0,0,0,0,0,0,0,0.05859375,,
0.264,,,,,-0.0625,-0.017578125,-1.03125,-0.0000968502173155403,-0.0012933057719268387,0,-0.005859375,0,0,0,0,0,0,0,0.05859375,,
0.282,,,,,-0.0625,-0.017578125,-1.02734375,0.0001610948249507473,-0.0006148502850143987,0,-0.00390625,0,0,0,0,0,0,0,0.05859375,,
0.297,,,,,-0.0625,-0.01953125,-1.033203125,0.00020343168189309671,0.0033498739666301728,0,-0.0032552082557231188,0,0,0,0,0,0,0,0.05859375,,
0.313,,,,,-0.0625,-0.017578125,-1.033203125,0.000019816771132141152,0.0021519759975503956,0,-0.009765625,0,0,0,0,0,0,0,0.05859375,,
