k_id,AR,lambda,twist,alpha,v,predicted_performance,model_uncertainty_std,pred_std,95_conf_lower,95_conf_upper
CR_101,18.925,0.5126,-3.2208,5.0,22.624,3.91525896792785,0.3421503844966807,0.3421503844966807,1.442496902923697,6.388021032932003
CR_101,18.925,0.5126,-3.2208,5.050251256281407,22.624,3.950330995637492,0.34117876735506525,0.34117876735506525,1.4845909248158935,6.416071066459091
CR_101,18.925,0.5126,-3.2208,5.100502512562814,22.624,3.9850762064080048,0.34022557628057964,0.34022557628057964,1.5262249623610882,6.443927450454922
CR_101,18.925,0.5126,-3.2208,5.150753768844221,22.624,4.0194904892727426,0.3392905177929723,0.3392905177929723,1.5673970256097847,6.471583952935701
CR_101,18.925,0.5126,-3.2208,5.201005025125628,22.624,4.053569826599683,0.33837331530796877,0.33837331530796877,1.6081050958378462,6.4990345573615205
CR_101,18.925,0.5126,-3.2208,5.251256281407035,22.624,4.087310295158084,0.33747370887082623,0.33747370887082623,1.6483471285387865,6.526273461777382
CR_101,18.925,0.5126,-3.2208,5.301507537688442,22.624,4.120708067148927,0.33659145486116326,0.33659145486116326,1.6881210565874447,6.553295077710409
CR_101,18.925,0.5126,-3.2208,5.351758793969849,22.624,4.153759411199217,0.3357263256706055,0.3357263256706055,1.7274247935639795,6.580094028834454
CR_101,18.925,0.5126,-3.2208,5.402010050251256,22.624,4.186460693319751,0.3348781093536124,0.3348781093536124,1.7662562372351531,6.60666514940435
CR_101,18.925,0.5126,-3.2208,5.452261306532663,22.624,4.218808377826211,0.33404660925282986,0.33404660925282986,1.804613273183047,6.633003482469375
CR_101,18.925,0.5126,-3.2208,5.50251256281407,22.624,4.250799028222482,0.3332316435997205,0.3332316435997205,1.8424937785746716,6.659104277870292
CR_101,18.925,0.5126,-3.2208,5.552763819095477,22.624,4.282429308046138,0.3324330450914621,0.3324330450914621,1.879895626065263,6.684962990027014
CR_101,18.925,0.5126,-3.2208,5.603015075376884,22.624,4.3136959816760365,0.33165066044533015,0.33165066044533015,1.9168166878263997,6.710575275525674
CR_101,18.925,0.5126,-3.2208,5.653266331658291,22.624,4.344595915102135,0.33088434993120536,0.33088434993120536,1.9532548396944538,6.735936990509817
CR_101,18.925,0.5126,-3.2208,5.703517587939698,22.624,4.375126076654412,0.3301339868836851,0.3301339868836851,1.9892079654255332,6.761044187883291
CR_101,18.925,0.5126,-3.2208,5.7537688442211055,22.624,4.4052835376954995,0.3293994571946213,0.3293994571946213,2.0246739610556084,6.785893114335391
CR_101,18.925,0.5126,-3.2208,5.8040201005025125,22.624,4.435065473271613,0.32868065878725977,0.32868065878725977,2.059650739351901,6.810480207191325
CR_101,18.925,0.5126,-3.2208,5.8542713567839195,22.624,4.4644691627246065,0.32797750107308293,0.32797750107308293,2.0941362343503984,6.8348020910988145
CR_101,18.925,0.5126,-3.2208,5.9045226130653266,22.624,4.493491990265001,0.32728990439229716,0.32728990439229716,2.1281284059725514,6.858855574557451
CR_101,18.925,0.5126,-3.2208,5.954773869346734,22.624,4.522131445503378,0.3266177994397194,0.3266177994397194,2.161625244705851,6.882637646300905
CR_101,18.925,0.5126,-3.2208,6.005025125628141,22.624,4.5503851239421405,0.3259611266764654,0.3259611266764654,2.1946247763473936,6.906145471536887
CR_101,18.925,0.5126,-3.2208,6.055276381909548,22.624,4.5782507274269175,0.3253198357290912,0.3253198357290912,2.227125066797758,6.9293763880560775
CR_101,18.925,0.5126,-3.2208,6.105527638190955,22.624,4.60572606455649,0.32469388477749367,0.32469388477749367,2.2591242268946505,6.952327902218329
CR_101,18.925,0.5126,-3.2208,6.155778894472362,22.624,4.632809051052851,0.32408323993231763,0.32408323993231763,2.2906204172825193,6.974997684823182
CR_101,18.925,0.5126,-3.2208,6.206030150753769,22.624,4.659497710088946,0.3234878746037475,0.3234878746037475,2.3216118533021115,6.99738356687578
CR_101,18.925,0.5126,-3.2208,6.256281407035176,22.624,4.6857901725765645,0.3229077688623669,0.3229077688623669,2.3520968098975104,7.019483535255619
CR_101,18.925,0.5126,-3.2208,6.306532663316583,22.624,4.711684677411457,0.3223429087937529,0.3223429087937529,2.3820736265256777,7.041295728297236
CR_101,18.925,0.5126,-3.2208,6.35678391959799,22.624,4.737179571678591,0.3217932858480531,0.3217932858480531,2.411540712062395,7.062818431294787
CR_101,18.925,0.5126,-3.2208,6.407035175879397,22.624,4.762273310815141,0.3212588961857062,0.3212588961857062,2.440496549693809,7.084050071936473
CR_101,18.925,0.5126,-3.2208,6.457286432160804,22.624,4.786964458731799,0.3207397400206113,0.3207397400206113,2.4689397017847377,7.104989215678861
