w_hover,ucb_total,ucb_hover,ucb_cruise,exploit_hover,explore_hover,exploit_cruise,explore_cruise,hover_eta,hover_std_raw,hover_std_lam95,cruise_ld,cruise_std_raw,cruise_std_lam95,hover_lower95,hover_upper95,cruise_lower95,cruise_upper95,median_hover,median_cruise,kappa_hover_eff,kappa_cruise_eff,lambda95_hover,lambda95_cruise,U_hover_raw_percent,U_cruise_raw_percent,AR,lambda,twist,alpha_hover,v_hover,alpha_cruise,v_cruise,de_fun,de_nit,de_nfev,de_success,de_message
0,1.94922,2.08165,1.94922,1.06962,1.01203,1.90756,0.0416585,0.410404,0.115454,0.20896,6.57915,0.261175,0.963031,0.000841941,0.819965,4.6916,8.46669,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.5,-3,13.4032,36.3836,8.4664,25,-1.94922,29,4288,True,Optimization terminated successfully.
0.05,1.95471,2.05901,1.94922,1.17802,0.880992,1.90756,0.0416585,0.451997,0.100505,0.181904,6.57915,0.261175,0.963031,0.0954651,0.808528,4.69161,8.46669,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.5,-3,10,32.1659,8.46645,25,-1.95471,31,4808,True,Optimization terminated successfully.
0.1,2.04371,2.89412,1.94922,2.06714,0.826979,1.90756,0.0416585,0.793148,0.0943435,0.170752,6.57915,0.261175,0.963031,0.458475,1.12782,4.6916,8.46669,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.5,-3,18.7245,19.4448,8.46638,25,-2.04371,65,9464,True,Optimization terminated successfully.
0.15,2.09095,2.89412,1.94922,2.06715,0.826976,1.90756,0.0416585,0.793149,0.0943432,0.170751,6.57915,0.261175,0.963031,0.458477,1.12782,4.6916,8.46669,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.5,-3,18.7243,19.4448,8.46639,25,-2.09095,59,8728,True,Optimization terminated successfully.
0.2,2.1382,2.89412,1.94922,2.06714,0.826984,1.90756,0.0416585,0.793146,0.0943441,0.170753,6.57915,0.261175,0.963031,0.458471,1.12782,4.69161,8.46669,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.5,-3,18.7247,19.4448,8.46645,25,-2.1382,44,6668,True,Optimization terminated successfully.
0.25,2.18544,2.89412,1.94922,2.06714,0.82698,1.90756,0.0416585,0.793147,0.0943437,0.170752,6.57915,0.261175,0.963031,0.458474,1.12782,4.6916,8.46669,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.5,-3,18.7245,19.4448,8.46638,25,-2.18544,50,7396,True,Optimization terminated successfully.
0.3,2.23269,2.89412,1.94922,2.06714,0.826985,1.90756,0.0416585,0.793145,0.0943442,0.170753,6.57915,0.261175,0.963031,0.45847,1.12782,4.69161,8.46669,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.5,-3,18.7246,19.4448,8.46642,25,-2.23269,50,7532,True,Optimization terminated successfully.
0.35,2.29283,3.4493,1.67012,2.83105,0.618241,1.62565,0.0444636,1.08626,0.0705302,0.127652,5.60685,0.278761,1.02788,0.836058,1.33645,3.59222,7.62149,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.714748,-3,19.3503,19.4115,8.69083,25,-2.29283,41,6320,True,Optimization terminated successfully.
0.4,2.30436,3.5735,1.45826,3.13283,0.440675,1.40438,0.053885,1.20204,0.0502731,0.0909889,4.84368,0.337828,1.24567,1.02371,1.38038,2.40216,7.2852,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.812133,-15,19.9435,19.4148,16.0336,18.7056,-2.30436,30,4604,True,Optimization terminated successfully.
0.45,2.41149,3.57382,1.4605,3.13397,0.439842,1.40647,0.0540227,1.20248,0.0501781,0.090817,4.85091,0.338691,1.24886,1.02448,1.38048,2.40315,7.29867,0.383693,3.44899,1.85829,0.149195,1.80989,3.68731,21.7057,8.0663,18.75,0.813882,-15,19.9746,19.415,15.9952,25,-2.41149,31,4920,True,Optimization terminated successfully.
