geom_id,AR,lambda,twist,n_hover_steps,n_cruise_steps,meas_hover_alpha,meas_hover_v,meas_hover_mu,meas_hover_var,meas_cruise_alpha,meas_cruise_v,meas_cruise_mu,pred_hover_alpha,pred_hover_v,pred_hover_mu,pred_hover_std,pred_hover_lower95,pred_hover_upper95,pred_cruise_alpha,pred_cruise_v,pred_cruise_mu,pred_cruise_std,pred_cruise_lower95,pred_cruise_upper95,pred_hover_mu_norm,pred_cruise_mu_norm,meas_hover_mu_norm,meas_cruise_mu_norm
G001,28.757,0.7198,-4.7324,16,0,12.4532,19.7616,0.653763,0.00234542,,,,16.5079,23.9206,0.673032,0.0707721,0.41776,0.928305,10.1587,25,3.96815,0.264532,2.05634,5.87996,1.76443,1.15053,1.71392,
G002,29.7489,0.8788,-7.7778,16,0,11.1194,27.9599,0.518652,0.000463487,,,,11.9048,21.5714,0.664094,0.0654644,0.427966,0.900222,13.6508,25,3.83215,0.269467,1.88468,5.77962,1.741,1.11109,1.35971,
G003,19.9275,0.8914,-12.6112,20,0,17.3303,19.4129,1.28249,0.000170492,,,,11.1111,21.5714,0.667247,0.0578671,0.458522,0.875972,15.2381,25,4.65357,0.287962,2.57244,6.73471,1.74927,1.34926,3.36219,
G004,31.0963,0.6196,-14.7806,18,0,18.3923,23.8051,0.56329,7.52349e-05,,,,17.1429,23.9206,0.735123,0.0476269,0.563334,0.906912,14.6032,25,3.54325,0.329989,1.15838,5.92812,1.92721,1.02733,1.47673,
G005,26.5251,0.5331,-9.0775,18,0,15.4265,19.5093,1.04993,0.000685885,,,,17.1429,38.6032,0.728546,0.0325535,0.611127,0.845966,11.4286,25,4.34446,0.269392,2.39753,6.29138,1.90997,1.25963,2.75252,
G006,23.7262,0.942,-8.5299,17,0,15.9889,37.8143,0.544458,0.000362108,,,,10.9524,21.5714,0.657252,0.0490038,0.480497,0.834007,13.9683,25,4.23121,0.260238,2.35044,6.11197,1.72306,1.2268,1.42736,
G007,25.2466,0.5126,-11.2285,18,0,16.6103,38.1756,0.55194,6.3924e-05,,,,16.9841,38.6032,0.741113,0.0401947,0.596132,0.886094,12.381,25,4.4346,0.275277,2.44514,6.42406,1.94292,1.28577,1.44698,
G008,22.227,0.545,-12.4272,19,0,19.5049,34.1051,0.613152,2.17844e-05,,,,17.1429,38.6032,0.671353,0.0613447,0.450085,0.892621,13.0159,25,4.73895,0.275932,2.74475,6.73314,1.76003,1.37401,1.60745,
G009,19.5166,0.8588,-4.5824,13,0,10.4124,23.881,0.524302,0.000310925,,,,11.2698,21.5714,0.680214,0.06016,0.463219,0.897209,9.84127,25,4.75501,0.27972,2.73344,6.77658,1.78326,1.37867,1.37452,
G010,21.3969,0.8101,-8.2399,19,0,14.3888,19.4576,1.10073,0.000268696,,,,11.746,21.5714,0.72157,0.0472919,0.55099,0.89215,12.0635,25,4.45748,0.259248,2.58387,6.3311,1.89168,1.2924,2.88569,
G011,25.3346,0.7961,-8.0708,20,0,13.7598,19.6556,0.789221,9.29866e-05,,,,12.0635,21.5714,0.7348,0.0358082,0.605641,0.86396,12.6984,25,4.10336,0.255756,2.25499,5.95174,1.92637,1.18973,2.06904,
G012,28.1597,0.591,-8.7941,16,0,12.8153,38.6491,0.500375,0.00072075,,,,16.9841,23.9206,0.738642,0.0453889,0.574926,0.902358,11.4286,25,4.03192,0.261501,2.14202,5.92182,1.93644,1.16902,1.31179,
G013,30.6026,0.5744,-14.4311,18,0,17.6018,23.8688,0.728073,0.000191013,,,,17.1429,23.9206,0.746512,0.0379134,0.609759,0.883264,14.2857,25,3.60422,0.321295,1.28219,5.92626,1.95707,1.04501,1.90873,
G014,22.6762,0.9229,-3.2208,18,0,10.186,21.6313,0.703829,0.00011624,,,,11.1111,21.5714,0.670669,0.0471339,0.500659,0.840679,9.52381,25,4.31175,0.290304,2.21369,6.40981,1.75824,1.25015,1.84517,
G015,24.4518,0.7666,-7.764,20,0,11.2931,27.9633,0.48999,9.46486e-05,,,,12.2222,21.5714,0.732811,0.0350705,0.606313,0.859309,12.0635,25,4.21689,0.256124,2.36585,6.06792,1.92115,1.22265,1.28457,
G016,25.767,0.7282,-6.4564,17,0,11.9463,24.1096,0.498846,9.21705e-05,,,,12.381,21.5714,0.710714,0.0404698,0.564741,0.856688,11.1111,25,4.17975,0.255341,2.33437,6.02513,1.86322,1.21188,1.30778,
G017,26.7735,0.9114,-8.082,17,0,14.7825,19.5356,0.829344,0.000724141,,,,11.4286,21.5714,0.678755,0.0538275,0.484601,0.872909,13.9683,25,4.03321,0.259367,2.15873,5.90769,1.77944,1.16939,2.17422,
G018,18.9254,0.8231,-11.4812,11,0,18.866,28.6777,0.513127,0.000419807,,,,11.4286,21.5714,0.683166,0.0629806,0.455997,0.910335,14.2857,25,4.70612,0.282777,2.66245,6.74979,1.791,1.36449,1.34522,
G019,27.5308,0.6426,-13.409,20,0,18.4644,19.541,0.99258,7.5924e-05,,,,16.8254,23.9206,0.718443,0.0552237,0.519253,0.917633,14.6032,25,3.96769,0.266865,2.03903,5.89636,1.88348,1.15039,2.60217,
G020,20.9572,0.9923,-12.7917,20,0,17.0273,19.4611,1.05609,0.000319929,,,,10.3175,21.5714,0.588244,0.059625,0.373179,0.80331,15.873,25,4.62571,0.306068,2.41372,6.8377,1.54215,1.34118,2.76867,
G021,29.9744,0.7542,-4.4538,17,0,12.2868,21.7252,0.526416,0.000222801,,,,12.6984,21.5714,0.666262,0.0577123,0.458096,0.874428,10.4762,25,3.81753,0.274674,1.83242,5.80264,1.74669,1.10686,1.38006,
G022,28.4204,0.6829,-13.4306,20,0,19.8312,44.7509,0.616467,5.59022e-05,,,,16.6667,23.9206,0.700475,0.0624373,0.475265,0.925684,14.6032,25,3.87189,0.269252,1.92597,5.81781,1.83638,1.12262,1.61614,
G023,20.5814,0.6238,-9.4421,13,0,13.2693,21.6288,0.654639,0.00056507,,,,12.5397,21.5714,0.625944,0.0436983,0.468325,0.783562,11.4286,25,4.93637,0.265335,3.01876,6.85398,1.64099,1.43125,1.71621,
G024,23.1866,0.9656,-9.9982,17,0,14.9615,21.6093,0.624607,0.00050482,,,,10.6349,21.5714,0.631103,0.0523714,0.442201,0.820005,14.9206,25,4.36397,0.266075,2.44102,6.28693,1.65451,1.26529,1.63748,
G025,23.8209,0.6773,-11.6893,18,0,16.1859,19.5575,0.830562,0.000144878,,,,12.5397,21.5714,0.682638,0.0424534,0.52951,0.835766,13.6508,25,4.36558,0.2569,2.50894,6.22223,1.78962,1.26576,2.17742,
G026,19.1039,0.7726,-13.7904,13,0,19.4908,25.9401,0.473995,7.21414e-05,,,,11.746,21.5714,0.689614,0.0584129,0.478921,0.900308,15.2381,25,4.81116,0.297918,2.65807,6.96425,1.80791,1.39495,1.24264,
G027,20.9961,0.9923,-3.2208,20,0,19.8312,38.2238,0.417839,2.12624e-06,,,,10.3175,21.5714,0.588582,0.0595121,0.373923,0.80324,9.52381,25,4.3322,0.322478,2.00161,6.66279,1.54304,1.25608,1.09541,
