w_hover,material,AR,lambda,aoaRoot (deg),aoaTip (deg),predicted_hover_eff,predicted_cruise_LD,improvement_hover,improvement_cruise,objective_score_J
0.0000,PETGCF,23.4928,0.5098,16.4898,5.4175,0.4160,40.0116,0.2014,2.3343,2.3343
0.2500,PETGCF,22.9456,0.8047,16.7100,5.4263,0.4139,38.8935,0.1955,2.2411,1.7297
0.5000,PETGCF,22.5250,0.5091,16.6435,5.4301,0.4484,39.4742,0.2951,2.2895,1.2923
0.7500,PETGCF,20.7130,0.5035,19.5002,5.4409,0.4612,38.1837,0.3321,2.1820,0.7945
1.0000,PETGCF,19.3629,0.5343,19.9998,7.7495,0.5119,20.4753,0.4784,0.7063,0.4784
0.0000,PLA,25.2957,0.5227,16.8223,5.3946,0.4310,39.9957,0.2450,2.3330,2.3330
0.2500,PLA,23.1315,0.5037,16.9933,5.4112,0.4335,39.9840,0.2520,2.3320,1.8120
0.5000,PLA,22.5049,0.5322,16.7790,5.4036,0.4576,39.4468,0.3216,2.2872,1.3044
0.7500,PLA,22.2679,0.5241,19.5045,5.3598,0.4729,38.2520,0.3659,2.1877,0.8213
1.0000,PLA,18.7749,0.5382,19.9310,5.2381,0.5219,11.0787,0.5075,-0.0768,0.5075
0.0000,PLAP,22.9229,0.5253,16.8854,5.3980,0.4299,39.9927,0.2416,2.3327,2.3327
0.2500,PLAP,23.0807,0.5260,16.7042,5.4587,0.4299,39.9927,0.2416,2.3327,1.8099
0.5000,PLAP,22.3114,0.5022,16.9457,5.4567,0.4540,39.4554,0.3113,2.2880,1.2996
0.7500,PLAP,22.3988,0.5072,16.8298,5.4522,0.4540,39.4554,0.3113,2.2880,0.8054
1.0000,PLAP,18.9703,0.5374,19.9875,5.7015,0.5185,9.7187,0.4977,-0.1901,0.4977
