eta_opt,ld_opt
0.5443,4.6904
0.4015,4.2200
0.5350,4.2197
0.5113,5.0267
0.6552,4.5597
0.6417,4.2133
0.7732,4.3447
0.6521,4.2329
0.4821,4.3162
0.5449,4.5574
0.4715,4.2787
0.5476,4.6882
0.6168,4.2042
0.5480,3.7672
0.5895,3.8000
0.4540,4.3329
0.5379,4.8036
0.4577,4.1358
0.5165,4.6727
0.4773,4.0914
0.6547,4.4583
0.6051,4.6814
0.6403,4.2263
0.7161,4.2591
0.5768,4.0678
0.5832,5.1949
0.7387,4.2791
0.5255,4.2017
0.6407,4.2814
0.5845,4.4661
0.6409,4.8668
0.6830,4.3842
0.5031,4.0397
0.5242,3.9888
0.6275,4.3207
0.6154,4.1747
0.5657,3.7838
0.4590,4.5393
0.5074,4.9264
0.5538,3.9238
0.6739,5.1400
0.7120,4.4920
0.6871,4.4086
0.4760,5.1405
0.6111,4.2711
0.5590,3.8940
0.5540,4.5941
0.5318,4.8251
0.5999,4.5334
0.5602,4.7799
0.4520,4.4156
0.6490,4.3865
0.6921,4.5020
0.4574,4.0319
0.6386,4.2967
0.5100,4.1570
0.4952,4.6326
0.5754,4.1721
0.5073,4.1612
0.6288,4.1694
0.5271,4.0505
0.6063,5.3383
0.7199,4.2159
0.4978,4.7276
0.5107,4.9287
0.7403,4.3566
0.4771,4.5268
0.6599,4.6816
0.6457,4.3630
0.4528,4.1526
0.7319,4.4117
0.5607,4.5012
0.7196,4.4231
0.7010,4.3214
0.5796,4.0535
0.7049,5.1823
0.5427,4.1719
0.6403,4.4253
0.5873,4.9610
0.4677,4.5859
0.6627,4.2609
0.5881,4.3523
0.6220,4.2563
0.6854,4.2998
0.5330,4.1694
0.6549,4.2986
0.5030,4.4806
0.6522,4.2744
0.6744,4.3547
0.6556,4.3599
0.6180,5.4457
0.5140,4.6051
0.7353,4.4545
0.6815,5.1546
0.7080,4.2505
0.5477,4.0166
0.5802,4.4836
0.4767,4.2193
0.7274,4.5110
0.5546,4.3107
0.6206,4.3962
0.7703,4.3183
0.5391,4.1394
0.4900,4.7199
