Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Thrust (N)
0,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001356762,-5.160883141,22.19999886,0.079345703,0,0,1.761474519,0,0,0,0,0.05859375,,-0.050610975
0.02286,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001299516,-5.251677481,22.20057106,0.066964284,0,0,1.486645336,0,0,0,0,0.05859375,,-0.051501363
0,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001369564,-5.690147707,22.20181656,0.077237219,0,0,1.714806559,0,0,0,0,0.05859375,,-0.055801287
0.04723,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001420555,-5.168633877,22.19885635,0.079520091,0,0,1.765255087,0,0,0,0,0.05859375,,-0.050686983
0.07186,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001292854,-5.294860155,22.19866562,0.081380211,0,0,1.806532088,0,0,0,0,0.05859375,,-0.05192484
0.097425,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001292895,-5.481985074,22.19949913,0.081787109,0,0,1.815632863,0,0,0,0,0.05859375,,-0.053759909
0.12006,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001258621,-5.557277941,22.19799995,0.079345703,0,0,1.761315914,0,0,0,0,0.05859375,,-0.05449828
0.14388,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001290774,-5.845162433,22.19942856,0.078125,0,0,1.734330356,0,0,0,0,0.05859375,,-0.057321462
0.16822,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001381961,-5.011404655,22.19850159,0.079345703,0,0,1.761355717,0,0,0,0,0.05859375,,-0.049145091
0.191805,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001373415,-4.857497177,22.20000076,0.074462891,0,0,1.653076229,0,0,0,0,0.05859375,,-0.047635775
0.22087,1000,,,,-0.0625,-0.015625,-1.0078125,-0.001366098,-5.448767633,22.19999886,0.076904297,0,0,1.707275303,0,0,0,0,0.05859375,,-0.053434157
0.245915,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001317227,-5.268286201,22.19919968,0.0859375,0,0,1.907743722,0,0,0,0,0.05859375,,-0.051664239
