Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1173,,,,-0.03125,0.02734375,-1.087890625,0.0000910777746739852,-0.007199789082927492,22.20400047302246,0.107421875,497,0,2.3851953633129597,0.0047394276538245805,0.19870186428845257,1.5191262761691215,0.0030185322316437914,0.06640625,,
0,1173,,,,-0.0625,-0.0234375,-1.0234375,,,22.20400047302246,0.126953125,497,0,2.8188672475516796,,0.16813823228870503,,,0.06640625,,
0.006004999999888241,1173,,,,0,-0.0625,-0.97265625,0.0000910777746739852,-0.007199789082927492,22.200000762939453,0.1171875,497,0,2.601562589406967,0.0047396743128391,0.18218567303120395,1.5190472187981974,0.0027674863992292807,0.06640625,,
0.012,1173,,,,-0.03125,-0.05078125,-0.97265625,,,22.20800018310547,0.126953125,497,0,2.8193750232458115,,0.16811220557126524,,,0.06640625,,
0.019,1173,,,,-0.0625,0.04296875,-1.0546875,0.00019900099749739302,-0.008080957299046976,22.20400047302246,0.126953125,497,0,2.8188672475516796,0.010357467336455857,0.36743366845146075,0.7802059168078571,0.0028667392216024617,0.06640625,,
0.02500499999988824,1173,,,,-0.0625,-0.0078125,-1.0078125,0.00037681161236805644,-0.00634011277451824,22.20800018310547,0.1171875,497,0,2.602500021457672,0.019615423904078336,0.753714649081603,0.32322078816762334,0.002436162429296394,0.06640625,,
0.031,1173,,,,-0.0625,-0.046875,-1.00390625,,,22.20400047302246,0.107421875,497,0,2.3851953633129597,,0.8224514524540661,,,0.06640625,,
0.037,1173,,,,-0.0625,-0.0390625,-1.01171875,0.0002836246200208675,,22.20400047302246,0.1220703125,497,0,2.7104492764919996,0.014766298635281904,0.5447915503658933,0.42936371064374046,0.0023391372159245623,0.06640625,,
0.046,1173,,,,-0.03125,-0.03515625,-1.017578125,,-0.00472821969625089,22.20400047302246,0.107421875,497,0,2.3851953633129597,,0.6190967071341675,,0.0019823196745123407,0.06640625,,
0.051,1173,,,,0,0,-1.0625,0.0000879486953460838,-0.00472821969625089,22.206666946411133,0.107421875,497,0,2.3854818008840084,0.004579000303378581,0.19195285001468892,1.0325877665398295,0.001982081646776225,0.064453125,,
0.057,1173,,,,-0.03125,-0.025390625,-1.01953125,,,22.20400047302246,0.09765625,497,0,2.1683594211935997,,0.21117431156315458,,,0.064453125,,
0.062,1173,,,,-0.0625,-0.03125,-1.00390625,,,22.200000762939453,0.107421875,498,0,2.3847657069563866,,0.19217659143627377,,,0.064453125,,
0.068,1173,,,,-0.0625,0.0078125,-1.05859375,-0.0002089015404922941,-0.006232653235967083,22.20600128173828,0.1220703125,498,0,2.7106935158371925,0.01088979747490921,0.4017347373019379,0.5723387648234519,0.002299283633340651,0.064453125,,
0.07400499999988824,1173,,,,-0.0625,-0.0390625,-1.0078125,,,22.20400047302246,0.107421875,498,0,2.3851953633129597,,0.45666188430163596,,,0.064453125,,
0.08200499999988824,1173,,,,-0.0625,-0.00390625,-1.0234375,-0.0003327988013329734,-0.008618254991802759,22.20400047302246,0.107421875,498,0,2.3851953633129597,0.017354290727178596,0.7275836182690731,0.49660658146666226,0.0036132281339974937,0.064453125,,
0.088,1173,,,,0,-0.060546875,-1.021484375,0.0000742617453863485,-0.006232653235967083,22.200000762939453,0.126953125,498,0,2.8183594718575478,0.0038727355401818337,0.13741098603115232,1.6093671182294171,0.002211447226020183,0.064453125,,
0.095,1173,,,,0,-0.046875,-1.0234375,,,22.20400047302246,0.1171875,498,0,2.6020313054323196,,0.14883855487619096,,,0.064453125,,
0.101,1173,,,,-0.0625,-0.00390625,-1.0234375,0.00042162037174019,,22.20400047302246,0.13671875,498,0,3.0357031896710396,0.021988136849430264,0.7243177437189761,0.28345526856808595,0.002053116805744924,0.064453125,,
