feature,coef_std,abs_coef_std,group
AR,-0.046268803746383154,0.046268803746383154,geometry
aoaRoot (deg),0.03907687203836147,0.03907687203836147,geometry
lambda,-0.01795249783168785,0.01795249783168785,geometry
aoaTip (deg),0.013652974854894473,0.013652974854894473,geometry
orientation_span_weak,-0.002821078294504887,0.002821078294504887,orientation
logE_eff__x__orientation_span_weak,-0.00282107829450488,0.00282107829450488,interaction:logE×orientation
logE_eff,0.002468983267056371,0.002468983267056371,stiffness
logE_eff__x__orientation_span_strong,0.0022811736780243286,0.0022811736780243286,interaction:logE×orientation
orientation_span_strong,0.0022811736780243286,0.0022811736780243286,orientation
orientation_isotropic,0.0016456299886216663,0.0016456299886216663,orientation
process_sla,0.0016456299886216663,0.0016456299886216663,process
material_tough2000,0.0016456299886216663,0.0016456299886216663,material
process_fdm,-0.0016456299886216628,0.0016456299886216628,process
material_pla,-0.0016456299886216628,0.0016456299886216628,material
logE_eff__x__material_tough2000,0.0016456299886216628,0.0016456299886216628,interaction:logE×material
logE_eff__x__process_sla,0.001645629988621656,0.001645629988621656,interaction:logE×process
logE_eff__x__orientation_isotropic,0.001645629988621656,0.001645629988621656,interaction:logE×orientation
logE_eff__x__material_pla,-0.0016212519839341466,0.0016212519839341466,interaction:logE×material
logE_eff__x__process_fdm,-0.0016212519839341397,0.0016212519839341397,interaction:logE×process
