feature,perm_importance_mean,perm_importance_std,group
AR,0.7863926957530444,0.24644202895752673,geometry
aoaRoot (deg),0.5591505047672385,0.18866786330904392,geometry
lambda,0.11982711447057542,0.046316827422306334,geometry
aoaTip (deg),0.06920362756330022,0.029717771953948972,geometry
orientation_span_weak,0.0030170314580991856,0.005118467625867074,orientation
logE_eff__x__orientation_span_weak,0.0030170314580991774,0.005118467625867053,interaction:logE×orientation
logE_eff,0.002390703962116553,0.00400721987463326,stiffness
logE_eff__x__orientation_span_strong,0.0020529420654946946,0.0036265024675941763,interaction:logE×orientation
orientation_span_strong,0.0020529420654946907,0.0036265024675941706,orientation
orientation_isotropic,0.0009479081695814895,0.00284606613487221,orientation
process_sla,0.0009479081695814895,0.00284606613487221,process
material_tough2000,0.0009479081695814895,0.00284606613487221,material
logE_eff__x__process_sla,0.0009479081695814733,0.00284606613487217,interaction:logE×process
logE_eff__x__orientation_isotropic,0.0009479081695814733,0.00284606613487217,interaction:logE×orientation
logE_eff__x__material_tough2000,0.0009479081695814717,0.0028460661348721807,interaction:logE×material
material_pla,0.0009479081695814507,0.0028460661348721937,material
process_fdm,0.0009479081695814507,0.0028460661348721937,process
logE_eff__x__material_pla,0.0009179252873936594,0.0028000062913837538,interaction:logE×material
logE_eff__x__process_fdm,0.0009179252873936571,0.0028000062913837434,interaction:logE×process
